# Reading audit: every icon reading read against its own picture, at full size.
# key	label	verdict	note   (verdict: checked-DATE | fixed-DATE | PENDING)
# 2026-09-21: the sweep was finished. NOTE FOR ANYONE READING THIS FILE: the 28 rows
# marked fixed-2026-08-22 recorded corrections that were NEVER APPLIED to hotspots2.js -
# the reader shipped the wrong text for a month of sessions, through every rebuild since. A row marked fixed
# here means nothing unless the prose says what the note says. All 43 outstanding rows were
# re-read against their pictures on 2026-09-21 and the prose was rewritten; 47 marker texts
# were corrected with them.
# key	label	verdict	note   (verdict: checked-DATE | fixed-DATE | PENDING)
86b7eea99230	Christ before Pilate — Russian icon, 15th c.	checked-2026-08-21b	
b0e12d12d7fc	The Scourging — Novgorod tablet icon, 15th c.	checked-2026-08-21b	
43f2ef551358	The Crucifixion — Sinai, late 12th c.	checked-2026-08-21b	
128a31eb8b95	The Crucifixion — Langadas, Greece, 1855	checked-2026-08-21b	
9c423d932526	The Crucifixion — double-sided icon, Byzantine Museum, Athens	checked-2026-08-21b	
4b7a825dcd83	The Lamentation — Nerezi, Macedonia, 1164	checked-2026-08-21b	
516477fdd7e0	The Lamentation — Emmanuel Lambardos, Crete, 17th c.	checked-2026-08-21b	
e40bae1d0d4c	The Epitaphios Threnos — Agios Vasileios, Greece, before 1900	checked-2026-08-21b	
86649de5aa5c	The Sealing of the Tomb — Russia, late 19th c.	checked-2026-08-21b	
a26a6cc7fc74	The Sleeping Guard — Mileševa, Serbia, 13th c.	checked-2026-08-21b	
1bb3cddc1741	The Last Judgment — John Tokhabi, Sinai, c. 1100	checked-2026-08-21b	
62def5aec815	The Tree of Jesse — Victor of Crete, 1674	fixed-2026-09-21	 | 2026-09-21, end of the marker audit: 'sleeps at the root' was asserted, not seen - the face is too small to show the eyes - now 'lies at the root'
97ae5ddb1d89	The Adoration of the Magi — Monreale, 12th c.	checked-2026-08-21b	
ffe73c2bdb6a	The Flight into Egypt — Menologion of Basil II, c. 1000	checked-2026-08-21b	
ce97ce9df2bc	The Holy Innocents — Ionian school, 17th c.	checked-2026-08-21b	
0357a9bcae79	Christ with St John the Forerunner — Dionysiou, Athos, 1547	checked-2026-08-21b	
d4064896388c	The Theophany — Ohrid, early 14th c.	checked-2026-08-21b	
1c6df2ef1f9b	The Temptation of Christ — Monreale, 12th c.	checked-2026-08-21b	
c4d2c9bb6006	Christ with the Apostles — Dionysiou, Athos, 1547	checked-2026-08-21b	
305d7ea4cbf0	Christ Healing the Multitudes — Dionysiou, Athos, 1547	checked-2026-08-21b	
2b3d17a3e3ad	The Commandments of the Beatitudes — Russian icon	checked-2026-08-21b	
f53e17ad7406	The Cleansing of the Leper — Monreale, 12th c.	checked-2026-08-21b	
0336507c47db	Christ and the Centurion — Dionysiou, Athos, 1547	checked-2026-08-21b	
e3ab29e84a86	Healing of Peter’s Mother-in-law — Monreale, 12th c.	checked-2026-08-21b	
1a57d2deda4b	Christ Stilling the Storm — Gračanica, 14th c.	checked-2026-08-21b	
c5a887002f86	The Dumb Demoniac — Dionysiou, Athos, 1547	checked-2026-08-21b	
b6218c06f8f4	The Healing of the Paralytic — Dionysiou, Athos, 1547	checked-2026-08-21b	
809e4f434700	St Matthew the Apostle — Langadas, Greece, 19th c.	checked-2026-08-21b	
e74e957600c1	The Daughter of Jairus — Monreale, 12th c.	checked-2026-08-21b	
486477b98e70	Christ Casting Out a Devil — Dionysiou, Athos, 1547	fixed-2026-09-21	applied 2026-09-21; imp confirmed: black winged imp over his head with a streak into his open mouth, one only - marker 'scuttles away across the rock' was wrong too
ae630c177c4b	The Synaxis of the Twelve Apostles — Constantinople, early 14th c.	checked-2026-08-22	12 in two ranks, June 30 feast correct
0816dc776ae6	The Twelve Apostles — Late Byzantine panel, early 1300s	checked-2026-08-22	three ranks of four, haloes overlap, gold ground - all confirmed at full size
890086731821	The Forerunner Led to Prison — Dionysiou, Athos, 1547	fixed-2026-09-21	applied 2026-09-21; and the prison window holds the Forerunner AGAIN, haloed - the fresco shows seizing and imprisonment at once
12d1b6b5abd7	Christ Pantocrator — Dionysiou, Athos, 1547	checked-2026-08-22	O WN in halo, blessing right hand, closed Gospel in left - confirmed
0b83261a7926	The Man with the Withered Hand — Dionysiou, Athos, 1547	checked-2026-08-22	unhaloed elders seated at both left and right, so 'either side' is right
632d526875ab	The Gadarene Demoniacs — Dionysiou, Athos, 1547	checked-2026-08-22	plural titulus, both men painted, devils leaving - confirmed
74e4150f14a6	Jonah and the Great Fish — Dionysiou, Athos, 1547	checked-2026-08-22	Jonah given up from the fish's open mouth with the scroll of his prayer - reading holds
d3cd28ed2081	The Parable of the Sower — Orthodox mosaic	checked-2026-08-22	seed-fold at the waist, seed cast, birds on the path, thorns, stony ground - all four grounds present
fd69652893db	The Beheading of the Forerunner — Dionysiou, Athos, 1547	fixed-2026-09-21	applied 2026-09-21; the gold disc round the fallen head is his HALO, which is what makes the 'head on the charger' misreading easy
8b7f7d9d5bf8	The Blessing of the Five Loaves — Dionysiou, Athos, 1547	fixed-2026-09-21	applied 2026-09-21; he holds five loaves with the two fishes laid across them and his face turned UP - the painter chose 'looking up to heaven'
eeb8331bcc9e	Christ Saving Peter from the Waves — Monreale, 12th c.	fixed-2026-09-21	found by the marker audit, batch 10: Peter is painted whole down to his feet, not 'half in the water' (this row had said 'chest-deep - reading holds'). Reading rewritten
bced617a4e30	The Canaanite Woman — Dionysiou, Athos, 1547	fixed-2026-09-21	applied 2026-09-21; and the daughter is IN the fresco on a red couch, not 'at home' as the reading said
d5a17108ebef	The Multiplication of the Loaves — Monreale, 12th c.	fixed-2026-09-21	applied 2026-09-21; ALSO its Latin counts five loaves/two fishes/five thousand/twelve baskets - Matthew 14, not the 15:29-39 it stands under. Owner's call, see HANDOFF
0c81d57a20b0	The Transfiguration — Sinai, 12th c.	fixed-2026-09-21	found by the marker audit, batch 10: 'Orthodox iconography always paints them falling' - this panel does not; Peter sits and speaks, James sits, only John hides his face. Reading rewritten
b5aeb19e98db	The Good Shepherd — Great Palace, Constantinople, 5th–6th c.	fixed-2026-09-21	applied 2026-09-21; and the 'pail' is a woven basket with two round pale things in it
18b841ec8665	The Labourers in the Vineyard — Byzantine Gospel book, 11th c.	fixed-2026-09-21	found by the marker audit, batch 10: 'hires labourers at the gate' - the upper register is the PAYING, a coin into the first man's hands, and the caption householder stands over the man who pays. Reading rewritten
afa7c09513ff	The Blind Men of Jericho — Monreale, 12th c.	fixed-2026-09-21	applied 2026-09-21; inscription is MISERERE NOSTRI not NOBIS, and the blind men's eyes are set as blank white ovals
7cd490c6152f	The Entry into Jerusalem — Dionysiou, Athos, 1547	fixed-2026-09-21	applied 2026-09-21; THREE children in the palm with a knife, a fourth at its foot; marker moved onto them and one added for the doorway
61b829bb9d62	The Cleansing of the Temple — Rossano Gospels, 6th c.	fixed-2026-09-21	applied 2026-09-21; prophets named on the leaf - David twice (both crowned), Hosea, Isaiah - and they hold nothing at all
542679055fe0	The Cursing of the Fig Tree — Langadas, Greece, 19th c.	fixed-2026-09-21	applied 2026-09-21; scroll writing not legible; the Ferapontov fresco beside it paints the SAME tree already bare
769af079a9d9	The Wedding Feast — Dionisius, Ferapontov Monastery, 1502	fixed-2026-09-21	applied 2026-09-21; marker added for the man cast out; the king stands under an arch giving orders, not enthroned
d7585bf8fa5e	The Wise and Foolish Virgins — Rossano Gospels, 6th c.	fixed-2026-09-21	applied 2026-09-21; every torch on the right ends in a red flame and not one on the left has any - that is the legible contrast
d4f530364ab1	The Separation of the Sheep and the Goats — Ravenna, 6th c.	fixed-2026-09-21	found by the marker audit, batch 10: the reading called the object a sixth-century mosaic; it is an early-20th-c. copy at the Metropolitan Museum (image_meta.json says so, and so does the reader's own credit line). Reading rewritten. Label 'Ravenna, 6th c.' left for the owner And 'the goats on his left': one goat is painted - now 'two white sheep … one grey goat'
2f9b9ae9e6e4	The Mystical Supper — Dionysiou, Athos, 1547	checked-2026-08-22	sigma table with the near side open, beloved disciple on the breast, hand at the dish - holds
22a3d28c32fa	The Crucifixion — Dionysiou, Athos, 1547	fixed-2026-09-21	applied 2026-09-21; and the fresco paints Matthew 27:51-52 at the foot of the cross - rent rock, skull, figures climbing out in grave-bands. Three markers added
90bb6dd72243	The Lamentation at the Tomb — Dionysiou, Athos, 1547	checked-2026-08-22	Theotokos cheek to cheek, myrrhbearers with raised hands, empty cross on a starred sky - holds
c8cde9e68f3f	“Behold the Place Where the Lord Lay” — Dionysiou, Athos, 1547	fixed-2026-09-21	applied 2026-09-21; marker label 'sleeping guard' now 'guard struck down'; two angels named in the reading
d8d0e2a8233a	The Second Coming — Georgios Klontzas, Crete, late 16th c.	fixed-2026-09-21	applied 2026-09-21; the lake holds chained souls, black winged devils with hooks, green scaly beasts, and a ribbed flank closing it at the right
c73d837b2a2b	The Cleansing of the Temple — Monreale, 12th c.	fixed-2026-09-21	found by the marker audit, batch 10: the inscription claim is not legible in this photograph, the 'scourge of cords raised in his right hand' is John 2:15 and cannot be assigned, and the oxen and sheep are John's. Reading rewritten
5f0302871958	The Tree of Jesse — Theodore Poulakis, Crete, 1666	checked-2026-08-22	Theotokos and Child central in the vine, Jesse asleep at the root, prophets with scrolls - holds
0653624bed65	The Tree of Jesse — Russian, 17th c.	fixed-2026-09-21	applied 2026-09-21; and there is NO trunk and no reclining Jesse - two markers claimed both. Vine survives only as the roundels
42da5561e5f8	The Nativity — Langadas, Greece, before 1900	fixed-2026-09-21	fix recorded 2026-08-22 was never applied to hotspots2.js; applied 2026-09-21, and the marker 'she lies at rest' corrected too
835a7ceeeb4d	The Nativity — Agios Vasileios, Greece, before 1900	fixed-2026-09-21	fix recorded 2026-08-22 was never applied; applied 2026-09-21. Manger re-cropped: masonry block, Child lies ALONG THE TOP, far rim not legible
10697d296a8f	The Nativity — Panagia Evraidou, Greece, 19th c.	fixed-2026-09-21	fix recorded 2026-08-22 was never applied; applied 2026-09-21. Also the 'beast's head at the edge' is a YOUNG MAN in profile - no beast in the panel
376a74fc60df	The Journey of the Magi — Monreale, 12th c.	fixed-2026-09-21	applied 2026-09-21; the mosaic letters it ...TES STELLA IN ORIETE VENT with abbreviation strokes
4f9aa3206d34	The Flight into Egypt — Kastoria, Greece, 19th c.	checked-2026-08-22	Joseph ahead with the rein, head turned back - holds
cea09590845f	The Flight into Egypt — Monreale, 12th c.	fixed-2026-09-21	applied 2026-09-21; marker 'the young man leading' also wrong - he drives from BEHIND
957d61b0b520	The Flight into Egypt — Sinai, 12th c.	fixed-2026-09-21	applied 2026-09-21; five figures, and the woman in the doorway is lettered PAXHA KAAIOYCA, Rachel weeping - Matthew 2:18
892e33ad2d95	The Massacre of the Innocents — Menologion of Basil II, c. 985	checked-2026-08-22	Herod enthroned left under a canopy, soldiers right, mother and bodies - holds
356d96d0e360	The Massacre of the Innocents — Chora, Constantinople, 14th c.	fixed-2026-09-21	applied 2026-09-21
a775939956b4	St John the Forerunner, the Angel of the Desert — Ohrid, c. 1700	fixed-2026-09-21	found by the marker audit, batch 11: the charger is not 'beside him', he holds it in his left hand. Reading fixed
5041a08ee3e1	The Theophany — Athanasios Margaritis, Langadas, 1850	fixed-2026-09-21	applied 2026-09-21; and it carries NO title band at all - the reading quoted one
aad702998821	The Theophany — Adam, Greece, before 1900	fixed-2026-09-21	applied 2026-09-21
686af8bf09a5	The Theophany — Russian North, 17th c.	checked-2026-08-22	black trough between red-brown banks, angels crowding the right - holds
6e1639e806a6	The Second Temptation — Monreale, 12th c.	fixed-2026-09-21	found by the marker audit, batch 11: the temple is not domed (tiled, pitched roof), and the wall spells TEMPTABIS, not TENTABIS. Reading fixed
9b4f680312cb	The Healing of the Paralytic — Monreale, 12th c.	fixed-2026-09-21	applied 2026-09-21; ALSO its own Latin is APERVERVNT TECTVM, which is Mark/Luke - Matthew puts nobody on a roof. Second such icon at 9:1-8
f8643ee3f937	The Healing of the Paralytic — Dionisy, Ferapontov, 1502	fixed-2026-09-21	applied 2026-09-21
a8365493cb79	St Matthew the Evangelist — Palekh, Russia, 19th c.	fixed-2026-09-21	checked 2026-09-21; enriched. Matthew's creature is the MAN painted winged, not an angel - reading had it as 'the angel'
f9a841fac743	The Daughter of Jairus — Dionisy, Ferapontov, 1502	fixed-2026-09-21	the girl is SITTING UP and reaching, hands almost touching; no minstrels, only the two parents. Two markers wrong
3422e12ea342	The Daughter of Jairus — Tokalı Kilise, Cappadocia, 10th c.	fixed-2026-09-21	she is wound head to foot in a striped shroud with NO hand showing - 'the hand of Christ reaching for hers' impossible. Bed ornament is the most careful drawing on the wall
ee98b32ac9d2	The Gerasene Demoniac — Sant'Apollinare Nuovo, Ravenna, 6th c.	fixed-2026-09-21	the old reading argued the swine fixed it as Matthew's; all three Synoptics have the herd, and the single demoniac is Mark's and Luke's number
6c7b9af56054	The Synaxis of the Twelve Apostles — Dimitar Molerov, Rila, 1835	fixed-2026-09-21	the photograph holds five of the twelve, not the panel; one carries a martyr's cross, not a book
71c52dbbe96d	The Prophet Jonah — Dionysiou, Athos, 1547	fixed-2026-09-21	scroll read: EBOHCA EN QLIYEI MOU PROC KURION TON QEON MOU KAI EICHKOUCE (Jonah 2:2)
720096bcfe48	The Head of the Forerunner — Langadas, Greece, 1927	fixed-2026-09-21	donor claim dropped - nothing supports it. Tooled halo wider than the head, crack down the board, hanging ring, title band illegible
68b10ea7692f	The Beheading of the Forerunner — Agios Vasileios, Greece, before 1900	fixed-2026-09-21	the sword is DOWN at his side; he is setting the head into the dish by the hair
95f104159057	The Multiplication of the Loaves — Sant'Apollinare Nuovo, Ravenna, 6th c.	fixed-2026-09-21	Christ beardless and taller by rank; loaves scored with a cross; there IS a landscape - green strip and a plant at either end
e19685593de5	The Transfiguration — Stavrakis Margaritis, Langadas, 1885	fixed-2026-09-21	signature read and quoted: 1885 . CEIR STAUROU MARGARITH EK KOLAKIAC
138e81c8252b	The Transfiguration — St Catherine's, Sinai, 12th c.	fixed-2026-09-21	NO mandorla and no gold halo at all - three or four thin red strokes only. Its own marker said so; the reading described a mandorla
26e109805b11	The Transfiguration — Yaroslavl, c. 1516	fixed-2026-09-21	dropped the unverifiable 'over five feet high'; ascent and descent confirmed
c92f7d56cab1	The Good Shepherd — Galla Placidia, Ravenna, c. 425	fixed-2026-09-21	checked 2026-09-21; enriched. Six sheep, all heads turned to him, none grazing - confirmed by crop
909fb1695c8e	The Entry into Jerusalem — Langadas, Greece, before 1900	fixed-2026-09-21	checked 2026-09-21; enriched - hanging ring, red title at the upper left, figure up the palm, losses along the foot
bdb5181482af	The Entry into Jerusalem — Athanasios of Adam, 1846	fixed-2026-09-21	no rock at the left, the city fills the upper half, and Christ looks FORWARD blessing the townspeople - marker 'looks behind him' was wrong
a50942612f18	The Entry into Jerusalem — Athos, 16th c.	fixed-2026-09-21	called 'the sparest of the three'; it is the most crowded - a great domed city and thirty or forty heads at the gate
0e8f54a54170	The Cursing of the Fig Tree — Dionisy, Ferapontov, 1502	fixed-2026-09-21	the bare tree is in the MIDDLE, not at the right; the right third is a second scene, a supper with a figure stretched out at the company's feet
6f36e1eaccde	The Ten Virgins — Dionisy, Ferapontov, 1502	fixed-2026-09-21	NO lamp is legible anywhere in the fresco, and the marker claimed one in every hand. Two groups divided by a painted pillar; nothing distinguishes wise from foolish
user-nativity	The Nativity of Christ	fixed-2026-09-21	checked 2026-09-21; enriched with what this particular image holds (Magi twice, angel and one shepherd, ox and ass, Joseph and the old man, the washing)
33237ce33d7b	The Healing of the Blind — Dionysiou, Athos, 1547	checked-2026-09-21	had NO ROW in this file until 2026-09-21 - 112 rows for 113 icons. Reading checked and stands: inscription is singular Ο ΧΣ ΙΩΜΕΝΟΣ ΤΟΝ ΤΥΦΛΟΝ, the man is painted twice, the second time bending over a cross-shaped basin, so the fresco is John 9. Open question in HANDOFF, unchanged
